"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpc2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gpc2"
"Adap1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Adap1"
"D130017N08Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","D130017N08Rik"
"B230303O12Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","B230303O12Rik"
"Prrt4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Prrt4"
"Cpa2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cpa2"
"Tmem178b.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tmem178b"
"Gimap6.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gimap6"
"Gprin3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gprin3"
"Sema4f.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Sema4f"
"Fbxo41.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Fbxo41"
"Rab43.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rab43"
"4930590J08Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","4930590J08Rik"
"Gm15631.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm15631"
"Rasgef1a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rasgef1a"
"Styk1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Styk1"
"Lrmp.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Lrmp"
"Tnni3.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tnni3"
"Rasl2-9.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rasl2-9"
"Vmn1r90.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Vmn1r90"
"Gpr4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gpr4"
"Gm15541.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm15541"
"Lgals4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Lgals4"
"A330087D11Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","A330087D11Rik"
"Gm4673.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm4673"
"Rhpn2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rhpn2"
"5430431A17Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","5430431A17Rik"
"A030001D20Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","A030001D20Rik"
"Gm9999.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm9999"
"Gm26944.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm26944"
"Tpbgl.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Tpbgl"
"Pde2a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pde2a"
"Syt17.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Syt17"
"Otoa.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Otoa"
"Gsg1l.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gsg1l"
"Gm44623.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm44623"
"Cfap46.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cfap46"
"Sct.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Sct"
"Gm10827.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm10827"
"Gm26740.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm26740"
"Gm16364.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm16364"
"Ccdc162.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ccdc162"
"Man1a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Man1a"
"Vsir.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Vsir"
"Ggt1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ggt1"
"Gstt2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gstt2"
"Col6a2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Col6a2"
"Fgf22.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Fgf22"
"Pcsk4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pcsk4"
"Adamtsl5.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Adamtsl5"
"Nuak1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Nuak1"
"Kcnc2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Kcnc2"
"F420014N23Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","F420014N23Rik"
"Pmel.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Pmel"
"Fam155a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Fam155a"
"B430010I23Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","B430010I23Rik"
"Apela.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Apela"
"Cers1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cers1"
"Gm10643.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm10643"
"Irx3os.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Irx3os"
"Gm45767.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm45767"
"Ccdc113.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Ccdc113"
"Nrn1l.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Nrn1l"
"Clec18a.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Clec18a"
"Mlkl.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Mlkl"
"1700030J22Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","1700030J22Rik"
"Foxf1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Foxf1"
"Thrb.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Thrb"
"Anxa11.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Anxa11"
"Cacna1d.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cacna1d"
"Mustn1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Mustn1"
"Bmp4.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Bmp4"
"Gm15222.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm15222"
"Il25.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Il25"
"Myh7.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Myh7"
"Adamdec1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Adamdec1"
"Cldn10.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Cldn10"
"Gm48796.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Gm48796"
"Fli1.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Fli1"
"Olfr920.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Olfr920"
"Hspb2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Hspb2"
"4833427G06Rik.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","4833427G06Rik"
"Colca2.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Colca2"
"Man2c1os.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Man2c1os"
"Rpp25.2",0.651222216281061,1.69886472339854,0,0.001,1,"2","Rpp25"
