"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Camk2a",3.50321275902414e-18,-2.31512181316815,0.028,0.127,5.542783227328e-14
"Zc3hav1",3.58541549423942e-18,-1.64867039340194,0.075,0.213,5.67284439498562e-14
"Rcn3",4.06407177433816e-18,0.543272388903834,0.904,0.777,6.43017436135783e-14
"Eif3d",4.41193529549188e-18,-0.259333338950007,0.998,1,6.98056402452725e-14
"Ccdc85b",4.53184170771438e-18,0.494170068383872,0.964,0.93,7.17027994994569e-14
"Sept7",4.67802682319848e-18,0.235914217842586,1,1,7.40157403966464e-14
"2700062C07Rik",4.75966943618116e-18,-0.800902597758378,0.394,0.584,7.53074898192582e-14
"Cox5a",5.18491074780227e-18,0.152898375482536,1,1,8.20356578517275e-14
"CT025619.1",5.61237796014265e-18,-0.905327703721563,0.257,0.459,8.87990440853769e-14
"Gm13889",5.97941388768372e-18,1.19072328106941,0.689,0.511,9.46062865309319e-14
"Dnaja1",6.31808556727935e-18,-0.184151935853952,1,1,9.99647498454939e-14
"Glg1",6.95792935099293e-18,0.379617150383659,0.984,0.964,1.1008835819141e-13
"Spop",7.17359509024303e-18,-0.503745887589444,0.843,0.92,1.13500621517825e-13
"Dcx",7.30070728300686e-18,-1.45603796186,0.15,0.316,1.15511790631735e-13
"Tagln3",8.73601842882349e-18,0.99410352034373,0.547,0.34,1.38221283580845e-13
"Msrb2",8.94733704428253e-18,-1.00845257253426,0.22,0.412,1.41564766714638e-13
"Meioc",9.22937523476893e-18,-3.112471611667,0.013,0.091,1.46027174964514e-13
"Sox21",9.2653343011444e-18,-0.602581198647491,0.58,0.781,1.46596119312707e-13
"Eif1ax",1.16293279248558e-17,-0.229816141593433,1,1,1.83999226427068e-13
"Psmd5",1.25186848765247e-17,-0.463833845826097,0.733,0.871,1.98070632116374e-13
"Mrps36",1.29185891154438e-17,0.295233837177696,0.998,0.988,2.04397916984553e-13
"Srsf1",1.43867552514475e-17,-0.321640599493379,0.981,0.988,2.27627241588402e-13
"Pvt1",1.58176626419826e-17,-1.1560930902863,0.161,0.336,2.50267058321449e-13
"Ryk",1.89611871544854e-17,0.284366670728784,0.999,0.998,3.00003903158268e-13
"Drg1",1.89867493657878e-17,-0.345811011446636,0.947,0.978,3.00408348465494e-13
"Hes1",1.95967074221332e-17,0.694899044876812,0.794,0.62,3.10059104832991e-13
"Vgll4",2.00989470253125e-17,0.571516063511659,0.944,0.893,3.18005539834495e-13
"Rps6",2.17692981830437e-17,-0.113080481720218,1,1,3.44433835852117e-13
"Ola1",2.17711108192075e-17,-0.230918149728424,1,1,3.444625153815e-13
"Cyp2j6",2.17982075676966e-17,1.61079836659524,0.305,0.117,3.44891240136096e-13
"Gnai2",2.23478619816741e-17,0.199714207569157,1,1,3.53587872274048e-13
"Phyhipl",2.29512814733532e-17,-1.09915786366137,0.263,0.451,3.63135175471395e-13
"Slc15a2",2.33444907540304e-17,0.494992313136144,0.945,0.881,3.69356532710269e-13
"Rpl32",2.44720041923038e-17,-0.0966610134214383,1,1,3.87196050330631e-13
"E130114P18Rik",2.46486360898131e-17,-0.715999786741486,0.611,0.736,3.89990720213024e-13
"Rps12",2.69828462421322e-17,-0.128017658301141,1,1,4.26922593243015e-13
"Snrpd1",2.76280047174463e-17,-0.238888147004261,1,1,4.37130290639436e-13
"Idi1",3.05164499875615e-17,-0.430782809116989,0.927,0.954,4.82831271703198e-13
"Saysd1",3.6799405567666e-17,-0.908311817801432,0.294,0.485,5.82240194891612e-13
"Gopc",4.19725786962316e-17,-0.986212845084693,0.243,0.429,6.64090140131776e-13
"Gm26825",4.21890243653672e-17,-1.22032332651604,0.15,0.316,6.6751474350884e-13
"Aga",4.28963026438945e-17,1.80669171818088,0.256,0.08,6.78705300431699e-13
"Igfbp3",4.70034350905213e-17,-0.359504605807334,0.999,0.998,7.43688350002227e-13
"Churc1",4.78455432493731e-17,0.344741840726297,0.979,0.96,7.57012185291581e-13
"E330013P04Rik",4.81170208324509e-17,-1.08144471604638,0.201,0.376,7.61307503611038e-13
"Dag1",5.00999890629569e-17,0.367935497449638,0.99,0.978,7.92682026954104e-13
"Rps15",5.20662918919699e-17,-0.11111697166634,1,1,8.23792870314748e-13
"Sez6l",5.49588567470484e-17,1.64936865113823,0.325,0.137,8.695590314518e-13
"CAAA01147332.1",5.58490990196429e-17,-1.83264754786936,0.043,0.153,8.8364444468879e-13
"Grn",5.65818384282198e-17,0.440801734102999,0.955,0.944,8.95237847611293e-13
"Tpi1",5.7785390931791e-17,0.423822471004543,1,0.986,9.14280455322797e-13
"Adsl",5.90691993607735e-17,-0.468436835440913,0.826,0.905,9.34592872286158e-13
